khipu,total_cords,string_cords,int_cords,empty_cords,document_type
AS014,75,43,32,0,nomination_ceremony
AS026B,260,21,208,31,lineage_land_registry
AS030,28,15,11,2,judicial_proceeding
AS069,1831,40,359,1432,astronomical_journal
AS070,588,21,334,233,astronomical_journal
AS075,186,4,92,90,pilgrimage_register
AS076,16,10,6,0,identity_naming
AS077,33,9,21,3,zone_inventory
AS080,40,4,34,2,cadastral_survey
AS090,58,42,16,0,legal_status_register
AS159,53,10,42,1,astronomical_calendar
AS207A,253,20,142,91,census_interrogation
AS207B,28,9,14,5,census_interrogation
HP020,29,12,12,5,cadastral_survey
HP051,32,8,19,5,administrative_accounting
JC012,30,13,9,8,cadastral_survey
UR003,769,22,451,296,agricultural_calendar
UR005,62,13,27,22,astronomical_catalog
UR006,874,14,537,323,astronomical_journal
UR016,442,16,312,114,cadastral_survey
UR022,314,15,192,107,astronomical_journal
UR034,188,16,159,13,astronomical_calendar
UR037,171,21,129,21,census_register
UR039,91,64,27,0,judicial_proceeding
UR050,164,163,1,0,lineage_land_registry
UR051,98,75,11,12,labor_tribute
UR052,98,92,4,2,juridical_oracle
UR054,115,113,1,1,physical_assets_register
UR055,180,173,3,4,succession_oracle
UR058A,275,17,201,57,cadastral_survey
UR095,26,8,16,2,judicial_proceeding
UR1087,97,31,65,1,cadastral_survey
UR1091,89,14,64,11,judicial_proceeding
UR1095,212,74,122,16,cadastral_survey
UR110,89,50,35,4,judicial_proceeding
UR112,76,37,39,0,judicial_proceeding
UR113,866,38,685,143,audit_register
UR1136,285,8,250,27,agricultural_calendar
UR1145,90,19,56,15,astronomical_catalog
UR118,321,10,271,40,cadastral_survey
UR120,77,21,28,28,cadastral_survey
UR144,96,55,41,0,administrative_report
UR165,225,9,166,50,astronomical_calendar
UR176,154,76,78,0,judicial_proceeding
UR177,90,31,53,6,labor_tribute
UR181,8,8,0,0,ritual_invocation
UR188,78,8,66,4,cadastral_survey
UR189,88,5,78,5,cadastral_survey
UR192,70,0,38,32,administrative_accounting
UR193,226,116,106,4,oracle_consultation
UR196,132,17,54,61,cadastral_survey
UR198,369,22,278,69,census_register
UR203,167,58,97,12,ceque_registry
UR204,79,9,56,14,census_register
UR255,90,13,53,24,commodity_accounting
UR256,176,21,124,31,commodity_accounting
UR262,490,11,364,115,commodity_accounting
UR266,174,11,109,54,commodity_accounting
UR267A,88,14,62,12,commodity_accounting
UR267B,131,19,87,25,commodity_accounting
UR268,169,27,108,34,commodity_accounting
UR269,330,21,198,111,commodity_accounting
UR270,381,53,244,84,commodity_accounting
UR272,362,23,191,148,paired_register
UR273A,87,9,14,64,event_register
UR275,125,13,101,11,commodity_accounting
UR277,247,38,136,73,inventory_register
UR278,322,66,226,30,astronomical_journal
UR280,250,20,130,100,administrative_accounting
UR284,22,13,8,1,administrative_accounting
